Course name	Unique ID	start date	end date	Location

Dreamweaver 101 Rookie	517	2/8/10	2/8/10	London
VectorWorks	518	14/8/08	14/8/08	On-site
Photoshop 101 Rookie	519	18/8/08	19/8/08	Glasgow
Illustrator - Introduction	520	18/8/08	19/8/08	London
AutoCAD – Essentials	521	18/8/08	20/8/08	London
Flex - Developing Rich Client Applications Level 1	522	18/8/08	20/8/08	London
Dreamweaver 101 Rookie	523	18/8/08	20/8/08	Manchester
Photoshop - Introduction	524	20/8/08	21/8/08	Cardiff
InDesign - Introduction	525	20/8/08	21/8/08	Glasgow
Illustrator - Advanced	526	20/8/08	21/8/08	London
Flash - Rich Content Creation	527	21/8/08	22/8/08	London
AutoCAD - Level 2 - Intermediate	528	21/8/08	22/8/08	London
AutoCAD - Level 2 - Intermediate	529	21/8/08	22/8/08	Manchester
Flex  - Data and Communications	530	21/8/08	22/8/08	London
Final Cut Pro - Introduction	531	25/8/08	27/8/08	Glasgow
Quark Xpress - Introduction	532	26/8/08	27/8/08	London
InDesign - Introduction	533	26/8/08	27/8/08	London
InDesign - Advanced	534	28/8/08	29/8/08	London
Acrobat 201 Hotshot	535	13/8/08	28/8/08	London
Photoshop - Introduction	536	28/8/08	29/8/08	London
Dreamweaver - Web Development Introduction	538	1/9/08	3/9/08	Cardiff
AutoCAD – Essentials	539	1/9/08	3/9/08	Glasgow
Room Hire	541	1/9/08	2/9/08	London
Flash - Advanced Actionscript	542	2/9/08	4/9/08	London
Dreamweaver - Web Development Introduction	543	2/9/08	4/9/08	London
Premiere Pro - Introduction	544	4/9/08	5/9/08	London
Flex - Building Dashboard Applications Level 2	545	4/9/08	5/9/08	London
AfterEffects - Introduction	546	4/9/08	5/9/08	Glasgow
AutoCAD - Level 2 - Intermediate	547	4/9/08	5/9/08	Glasgow
Flash - Rich Content Creation	548	4/9/08	5/9/08	Cardiff
Illustrator - Introduction	549	5/9/08	5/9/08	Leeds
Flex - Developing Rich Client Applications Level 1	550	8/9/08	10/9/08	Glasgow
3ds Max - Essentials Masterclass	551	8/9/08	12/9/08	Glasgow
Flash - Rich Content Creation	552	8/9/08	9/9/08	London
InDesign - Introduction	553	8/9/08	9/9/08	Manchester
Flash - Actionscript	554	10/9/08	12/9/08	London
Maya Jumpstart: Zero to Hero	555	29/9/08	3/10/08	London
Room Hire	556	10/9/08	10/9/08	London
Photoshop - Introduction	557	10/9/08	11/9/08	Manchester
InDesign - Advanced	558	10/9/08	11/9/08	Manchester
Flex  - Data and Communications	559	11/9/08	12/9/08	Glasgow
Illustrator - Introduction	561	12/9/08	12/9/08	Manchester
Photoshop - Introduction	562	15/9/08	16/9/08	Glasgow
Room Hire	563	15/9/08	16/9/08	London
AutoCAD – Essentials	564	15/9/08	17/9/08	London
Photoshop - Introduction	565	15/9/08	16/9/08	London
Flash - Rich Content Creation	566	15/9/08	16/9/08	Manchester
Photoshop - Extended	567	19/9/08	19/9/08	London
InDesign - Introduction	568	17/9/08	18/9/08	London
"Ajax - Fast Track to AJAX, Introduction"	569	17/9/08	19/9/08	London
Photoshop - Advanced	570	17/9/08	18/9/08	London
Flash - Actionscript	571	17/9/08	19/9/08	Manchester
Dreamweaver - Web Development Introduction	572	17/9/08	19/9/08	Manchester
AutoCAD - Level 2 - Intermediate	573	18/9/08	19/9/08	London
Illustrator - Introduction	574	19/9/08	19/9/08	London
Photoshop - Advanced	575	22/9/08	23/9/08	Glasgow
3ds Max V-Ray	576	25/9/08	26/9/08	London
Dreamweaver - Web Development Introduction	577	22/9/08	24/9/08	London
Photoshop 101 Rookie	578	22/9/08	24/9/08	London
Illustrator - Introduction	580	23/9/08	24/9/08	London
InDesign - Advanced	581	24/9/08	25/9/08	Glasgow
3ds Max Advanced	582	22/9/08	24/9/08	London
Flash - Rich Content Creation	583	25/9/08	26/9/08	London
Flex  - Data and Communications	584	25/9/08	26/9/08	London
Flash - Rich Content Creation	586	29/9/08	30/9/08	Glasgow
InDesign - Introduction	587	29/9/08	30/9/08	London
Jon Bessant - Acrobat	588	29/9/08	30/9/08	London
Illustrator - Introduction	589	29/9/08	30/9/08	Manchester
Flash - Actionscript	590	1/10/08	3/10/08	Glasgow
InDesign - Advanced	591	1/10/08	2/10/08	London
Photoshop - Introduction	592	1/10/08	2/10/08	London
Illustrator - Advanced	593	1/10/08	2/10/08	Manchester
Illustrator - Introduction	594	3/10/08	3/10/08	London
Flash - Rich Content Creation	595	6/10/08	7/10/08	London
Cascading Style Sheets	596	6/10/08	7/10/08	London
Photoshop - Introduction	597	6/10/08	7/10/08	Manchester
Flash - Actionscript	598	8/10/08	10/10/08	London
Photoshop - Advanced	599	8/10/08	9/10/08	Manchester
Room Hire	600	9/10/08	10/10/08	London
Final Cut Pro Advanced	601	13/10/08	15/10/08	Glasgow
AutoCAD – Essentials	602	13/10/08	15/10/08	London
Flash - Rich Content Creation	603	13/10/08	14/10/08	Manchester
InDesign - Introduction	604	15/10/08	16/10/08	London
Flash - Actionscript	605	15/10/08	17/10/08	Manchester
Illustrator - Introduction	606	20/10/08	21/10/08	London
Flex - Developing Rich Client Applications Level 1	607	20/10/08	22/10/08	London
Captivate - Introduction	608	20/10/08	21/10/08	Manchester
